model,epoch_loss,test_f1_loss,epoch_f1,test_f1_f1,epoch_best,test_best_f1
mbert_finetune_small_24h_vocab_sum_small,1.0,71.16746440589857,3.0,74.47916666666666,2.0,76.33717407281968
mbert_finetune_small_24h_vocab_sum_small25,2.0,68.58666714154697,4.0,71.46711439357914,9.0,72.37048665620095
mbert_finetune_small_24h_vocab_sum_small50,2.0,75.03134225745136,2.0,75.03134225745136,2.0,75.03134225745136
mbert_finetune_small_24h_vocab_sum_small75,1.0,69.129683343603,5.0,76.05381270474125,10.0,76.62337022279063
mbert_finetune_small_gen_vocab_avg,3.0,72.25183211192538,3.0,72.25183211192538,2.0,73.84352100539806
mbert_finetune_small_gen_vocab_avg/checkpoint-1000_small,3.0,77.5926833251674,3.0,77.5926833251674,3.0,77.5926833251674
mbert_finetune_small_gen_vocab_avg/checkpoint-1000_small25,2.0,72.12369572835848,7.0,70.69889124205805,2.0,72.12369572835848
mbert_finetune_small_gen_vocab_avg/checkpoint-1000_small50,1.0,68.9768230638779,1.0,68.9768230638779,4.0,70.9182063032364
mbert_finetune_small_gen_vocab_avg/checkpoint-1000_small75,2.0,72.17391304347827,3.0,72.81501747986016,5.0,74.64541464541466
mbert_finetune_small_gen_vocab_avg/checkpoint-1500_small,2.0,75.33247895387119,1.0,72.93047764745879,2.0,75.33247895387119
mbert_finetune_small_gen_vocab_avg/checkpoint-1500_small25,2.0,59.414127748864566,6.0,69.16646745375047,3.0,69.46344429244566
mbert_finetune_small_gen_vocab_avg/checkpoint-1500_small50,2.0,69.61884961884962,10.0,70.43388511770077,3.0,73.69391025641025
mbert_finetune_small_gen_vocab_avg/checkpoint-1500_small75,2.0,70.25615777813175,4.0,73.23641768168781,3.0,75.65881000628059
